iter	Passed	Remaining
595	16711	11327
596	16739	11299
597	16760	11266
598	16801	11248
599	16838	11225
600	16866	11197
601	16882	11161
602	16916	11137
603	16947	11111
604	16976	11083
605	17007	11057
606	17040	11032
607	17073	11008
608	17097	10977
609	17122	10947
610	17141	10913
611	17158	10878
612	17181	10847
613	17207	10817
614	17246	10796
615	17258	10758
616	17268	10719
617	17278	10680
618	17290	10642
619	17301	10604
620	17312	10565
621	17324	10528
622	17334	10489
623	17344	10451
624	17356	10413
625	17367	10376
626	17379	10339
627	17392	10302
628	17404	10265
629	17416	10228
630	17428	10191
631	17439	10154
632	17450	10117
633	17462	10080
634	17473	10043
635	17485	10007
636	17496	9970
637	17506	9933
638	17516	9895
639	17527	9859
640	17538	9822
641	17549	9786
642	17559	9749
643	17570	9712
644	17580	9676
645	17589	9639
646	17600	9602
647	17610	9565
648	17621	9530
649	17631	9494
650	17643	9458
651	17654	9422
652	17664	9386
653	17674	9350
654	17683	9314
655	17693	9278
656	17703	9242
657	17712	9206
658	17723	9170
659	17733	9135
660	17743	9099
661	17753	9064
662	17764	9029
663	17773	8994
664	17784	8959
665	17793	8923
666	17803	8888
667	17812	8852
668	17821	8817
669	17830	8782
670	17839	8746
671	17847	8711
672	17857	8676
673	17865	8641
674	17874	8606
675	17883	8571
676	17893	8536
677	17902	8502
678	17910	8467
679	17920	8433
680	17931	8399
681	17941	8365
682	17950	8331
683	17960	8297
684	17970	8263
685	17978	8229
686	18017	8208
687	18052	8186
688	18084	8163
689	18117	8139
690	18147	8115
691	18184	8093
692	18218	8070
693	18253	8048
694	18276	8020
695	18296	7991
696	18323	7965
697	18346	7937
698	18383	7916
699	18442	7903
700	18504	7892
701	18556	7877
702	18568	7844
703	18626	7831
704	18663	7809
705	18708	7790
706	18752	7771
707	18789	7749
708	18823	7725
709	18851	7700
710	18903	7683
711	18937	7659
712	18959	7631
713	18980	7602
714	19013	7578
715	19058	7559
716	19091	7535
717	19127	7512
718	19190	7500
719	19243	7483
720	19278	7460
721	19310	7435
722	19339	7409
723	19367	7383
724	19392	7355
725	19419	7329
726	19465	7309
727	19489	7281
728	19524	7257
729	19558	7233
730	19583	7206
731	19624	7184
732	19674	7166
733	19697	7138
734	19743	7118
735	19773	7092
736	19811	7069
737	19853	7048
738	19889	7024
739	19921	6999
740	19955	6974
741	19989	6950
742	20017	6923
743	20054	6900
744	20086	6875
745	20116	6849
746	20138	6820
747	20191	6802
748	20225	6777
749	20260	6753
750	20298	6730
751	20317	6700
752	20343	6673
753	20380	6649
754	20412	6623
755	20443	6598
756	20478	6573
757	20505	6546
758	20537	6521
759	20566	6494
760	20597	6469
761	20639	6446
762	20664	6418
763	20694	6392
764	20739	6371
765	20759	6341
766	20787	6314
767	20853	6299
768	20884	6273
769	20906	6244
770	20938	6218
771	20982	6196
772	21014	6171
773	21043	6144
774	21063	6115
775	21086	6086
776	21107	6057
777	21141	6032
778	21163	6004
779	21192	5977
780	21224	5951
781	21265	5928
782	21309	5905
783	21351	5882
784	21378	5855
785	21393	5824
786	21409	5794
787	21420	5762
788	21430	5730
789	21441	5699
790	21451	5667
791	21461	5636
792	21474	5605
793	21487	5574
794	21499	5543
795	21511	5512
796	21523	5482
797	21534	5451
798	21545	5420
799	21556	5389
800	21566	5358
801	21578	5327
802	21590	5296
803	21602	5266
804	21615	5236
805	21644	5209
806	21660	5180
807	21670	5149
808	21685	5119
809	21699	5090
810	21710	5059
811	21721	5029
812	21735	4999
813	21746	4969
814	21758	4938
815	21769	4908
816	21781	4878
817	21793	4848
818	21802	4818
819	21815	4788
820	21828	4759
821	21840	4729
822	21850	4699
823	21862	4669
824	21872	4639
825	21882	4609
826	21892	4579
827	21904	4550
828	21915	4520
829	21925	4490
830	21935	4461
831	21945	4431
832	21957	4402
833	21968	4372
834	21978	4343
835	21988	4313
836	21999	4284
837	22008	4254
838	22018	4225
839	22029	4196
840	22040	4166
841	22051	4137
842	22062	4108
843	22074	4080
844	22087	4051
845	22100	4023
846	22111	3994
847	22121	3965
848	22132	3936
849	22144	3907
850	22154	3879
851	22164	3850
852	22178	3822
853	22190	3793
854	22200	3765
855	22209	3736
856	22218	3707
857	22229	3679
858	22238	3650
859	22247	3621
860	22255	3592
861	22264	3564
862	22274	3536
863	22285	3507
864	22295	3479
865876	22198	3113
877	22215	3086
878	22230	3060
879	22250	3034
880	22269	3008
881	22280	2980
882	22300	2954
883	22317	2928
884	22331	2901
885	22358	2876
886	22372	2850
887	22390	2824
888	22406	2797
889	22421	2771
890	22435	2744
891	22530	2727
892	22559	2703
893	22579	2677
894	22593	2650
895	22606	2623
896	22624	2597
897	22636	2571
898	22669	2546
899	22683	2520
900	22704	2494
901	22740	2470
902	22772	2446
903	22784	2419
904	22799	2393
905	22818	2367
906	22829	2340
907	22849	2315
908	22865	2289
909	22883	2263
910	22899	2237
911	22908	2210
912	22920	2184
913	22932	2157
914	22944	2131
915	22963	2105
916	22980	2080
917	22991	2053
918	23006	2027
919	23017	2001
920	23029	1975
921	23040	1949
922	23049	1922
923	23058	1896
924	23070	1870
925	23082	1844
926	23091	1818
927	23100	1792
928	23112	1766
929	23121	1740
930	23133	1714
931	23141	1688
932	23152	1662
933	23161	1636
934	23172	1610
935	23181	1585
936	23192	1559
937	23200	1533
938	23211	1507
939	23220	1482
940	23231	1456
941	23243	1431
942	23253	1405
943	23264	1380
944	23276	1354
945	23284	1329
946	23294	1303
947	23303	1278
948	23310	1252
949	23317	1227
950	23325	1201
951	23332	1176
952	23340	1151
953	23347	1125
954	23355	1100
955	23363	1075
956	23370	1050
957	23378	1024
958	23385	999
959	23394	974
960	23401	949
961	23409	924
962	23416	899
963	23422	874
964	23428	849
965	23433	824
966	23440	799
967	23447	775
968	23452	750
969	23457	725
970	23461	700
971	23466	675
972	23471	651
973	23476	626
974	23481	602
975	23487	577
976	23492	553
977	23498	528
978	23503	504
979	23509	479
980	23515	455
981	23519	431
982	23525	406
983	23531	382
984	23537	358
985	23542	334
986	23547	310
987	23553	286
988	23559	262
989	23565	238
990	23572	214
991	23578	190
992	23584	166
993	23590	142
994	23595	118
995	23600	94
996	23606	71
997	23612	47
998	23617	23
999	23622	0
	119
995	23702	95
996	23706	71
997	23712	47
998	23717	23
999	23722	0

993	23486	141
994	23493	118
995	23500	94
996	23507	70
997	23517	47
998	23523	23
999	23529	0
